exch,contract,area,code,indust,name,product,exchg
SSE,600276,连云港市,600276,医药生物,恒瑞医药,STK,SSE
SSE,600277,鄂尔多斯市,600277,化工,亿利洁能,STK,SSE
SSE,600278,上海市,600278,商业贸易,东方创业,STK,SSE
SSE,600279,重庆市,600279,交通运输,重庆港九,STK,SSE
SSE,600280,南京市,600280,商业贸易,中央商场,STK,SSE
SSE,600281,太原市,600281,综合,太化股份,STK,SSE
SSE,600282,南京市,600282,钢铁,南钢股份,STK,SSE
SSE,600283,杭州市,600283,公用事业,钱江水利,STK,SSE
SSE,600284,上海市,600284,建筑装饰,浦东建设,STK,SSE
SSE,600285,信阳市,600285,医药生物,羚锐制药,STK,SSE
SSE,600286,株洲市,600286,0,S*ST国瓷(退市),STK,SSE
SSE,600287,南京市,600287,商业贸易,江苏舜天,STK,SSE
SSE,600288,北京市,600288,电子,大恒科技,STK,SSE
SSE,600289,哈尔滨市,600289,通信,*ST信通,STK,SSE
SSE,600290,乐清市,600290,电气设备,ST华仪,STK,SSE
SSE,600291,乌海市,600291,非银金融,西水股份,STK,SSE
SSE,600292,重庆市,600292,公用事业,远达环保,STK,SSE
SSE,600293,当阳市,600293,通信,三峡新材,STK,SSE
SSE,600295,鄂尔多斯市,600295,采掘,鄂尔多斯,STK,SSE
SSE,600296,兰州市,600296,0,S兰铝(退市),STK,SSE
SSE,600297,大连市,600297,汽车,广汇汽车,STK,SSE
SSE,600298,宜昌市,600298,农林牧渔,安琪酵母,STK,SSE
SSE,600299,北京市,600299,化工,安迪苏,STK,SSE
SSE,600300,徐州市,600300,食品饮料,维维股份,STK,SSE
SSE,600301,南宁市,600301,商业贸易,ST南化,STK,SSE
SSE,600302,西安市,600302,机械设备,标准股份,STK,SSE
SSE,600303,丹东市,600303,汽车,曙光股份,STK,SSE
SSE,600305,镇江市,600305,食品饮料,恒顺醋业,STK,SSE
SSE,600306,沈阳市,600306,商业贸易,商业城,STK,SSE
SSE,600307,嘉峪关市,600307,钢铁,酒钢宏兴,STK,SSE
SSE,600308,东营市,600308,轻工制造,华泰股份,STK,SSE
SSE,600309,烟台市,600309,化工,万华化学,STK,SSE
SSE,600310,贺州市,600310,公用事业,桂东电力,STK,SSE
SSE,600311,武威市,600311,有色金属,荣华实业,STK,SSE
SSE,600312,平顶山市,600312,电气设备,平高电气,STK,SSE
SSE,600313,北京市,600313,农林牧渔,农发种业,STK,SSE
SSE,600315,上海市,600315,化工,上海家化,STK,SSE
SSE,600316,南昌市,600316,国防军工,洪都航空,STK,SSE
SSE,600317,营口市,600317,交通运输,营口港,STK,SSE
SSE,600318,巢湖市,600318,非银金融,新力金融,STK,SSE
SSE,600319,潍坊市,600319,化工,ST亚星,STK,SSE
SSE,600320,上海市,600320,机械设备,振华重工,STK,SSE
SSE,600321,成都市,600321,建筑材料,正源股份,STK,SSE
SSE,600322,天津市,600322,房地产,天房发展,STK,SSE
SSE,600323,佛山市,600323,公用事业,瀚蓝环境,STK,SSE
SSE,600325,珠海市,600325,房地产,华发股份,STK,SSE
SSE,600326,拉萨市,600326,建筑材料,西藏天路,STK,SSE
SSE,600327,无锡市,600327,汽车,大东方,STK,SSE
SSE,600328,阿拉善盟,600328,化工,兰太实业,STK,SSE
SSE,600329,天津市,600329,医药生物,中新药业,STK,SSE
SSE,600330,海宁市,600330,有色金属,天通股份,STK,SSE
SSE,600331,什邡市,600331,有色金属,宏达股份,STK,SSE
SSE,600332,广州市,600332,医药生物,白云山,STK,SSE
SSE,600333,长春市,600333,公用事业,长春燃气,STK,SSE
SSE,600335,天津市,600335,汽车,国机汽车,STK,SSE
SSE,600336,青岛市,600336,家用电器,澳柯玛,STK,SSE
SSE,600337,乌鲁木齐市,600337,轻工制造,美克家居,STK,SSE
SSE,600338,拉萨市,600338,有色金属,西藏珠峰,STK,SSE
SSE,600339,克拉玛依市,600339,采掘,中油工程,STK,SSE
SSE,600340,廊坊市,600340,房地产,华夏幸福,STK,SSE
SSE,600343,西安市,600343,国防军工,航天动力,STK,SSE
SSE,600345,武汉市,600345,通信,长江通信,STK,SSE
SSE,600346,瓦房店市,600346,化工,恒力石化,STK,SSE
SSE,600348,阳泉市,600348,采掘,阳泉煤业,STK,SSE
SSE,600350,济南市,600350,交通运输,山东高速,STK,SSE
SSE,600351,运城市,600351,医药生物,亚宝药业,STK,SSE
SSE,600352,绍兴市,600352,化工,浙江龙盛,STK,SSE
SSE,600353,成都市,600353,电子,旭光股份,STK,SSE
SSE,600354,酒泉市,600354,农林牧渔,*ST敦种,STK,SSE
SSE,600355,武汉市,600355,通信,精伦电子,STK,SSE
SSE,600356,牡丹江市,600356,轻工制造,恒丰纸业,STK,SSE
SSE,600357,承德市,600357,0,承德钒钛(退市),STK,SSE
SSE,600358,南京市,600358,休闲服务,国旅联合,STK,SSE
SSE,600359,阿拉尔市,600359,农林牧渔,新农开发,STK,SSE
SSE,600360,吉林市,600360,电子,华微电子,STK,SSE
SSE,600361,北京市,600361,商业贸易,华联综超,STK,SSE
SSE,600362,贵溪市,600362,有色金属,江西铜业,STK,SSE
SSE,600363,南昌市,600363,电子,联创光电,STK,SSE
SSE,600365,通化市,600365,食品饮料,通葡股份,STK,SSE
SSE,600366,宁波市,600366,有色金属,宁波韵升,STK,SSE
SSE,600367,安顺市,600367,化工,红星发展,STK,SSE
SSE,600368,南宁市,600368,交通运输,五洲交通,STK,SSE
SSE,600369,重庆市,600369,非银金融,西南证券,STK,SSE
SSE,600370,江阴市,600370,纺织服装,三房巷,STK,SSE
SSE,600371,哈尔滨市,600371,农林牧渔,万向德农,STK,SSE
SSE,600372,北京市,600372,国防军工,中航电子,STK,SSE
